Topic,Words
1,"행사, 담합, 여사, 유비, 촉나라"
2,"린치, 이순신, 시신, 회장, 침몰"
3,"브랜드, 고객, 글로벌, 던스트, 중국"
4,"대학, 언론, 학생, 오텔로, 오페라"
5,"국민, 대표, 괴담, 민주당, 야당"
6,"시장, 캐논, 제품, 코리아, 산업"
7,"기업, 헤즈볼라, 한화, 갤러리아, 레바논"
8,"방통위, 추천, 백신, 민주당, 사용"
9,"예비군, 기동대, 영장, 사건, 훈련"
10,"질환, 발생, 열대야, 기록, 폭염"
11,"사고, 수술, 은행, 농협, 혐의"
12,"미국, 외교, 러시아, 대사, 관리"
13,"대회, 서비스, 해커, 그룹, 기술"
14,"기능, 갤럭시, 퀀텀, 스마트폰, 탑재"
15,"의료, 응급실, 환자, 병원, 진료"
16,"디지털, 코리아, 소비자, 캠페인, 가격"
17,"배넌, 몽골, 전통, 정신, 사업"
18,"금리, 은행, 대출, 보험사, 담대"
19,"다이아몬드, 매트, 에어, 호텔, 투숙"
20,"사막, 소주, 나라, 아침, 토끼"
21,"부산, 원정, 독립운동, 연주, 광복"
22,"인플레이션, 노동, 팬데믹, 위험, 이전"
23,"키옥, 시아, 상장, 하이닉스, 메모리"
24,"카카오, 산림, 차장, 요구, 산림청"
25,"유한양행, 기자, 물질, 신약, 개발"
26,"부산, 교회, 한국, 베트남, 실업"
27,"여행, 서울, 여행객, 전국, 선호"
28,"하나님, 교회, 기도, 오아시스, 나라"
29,"데이터, 센터, 기업, 주식, 한국"
30,"슈가, 조사, 경찰, 스쿠터, 전동"
31,"출생, 경제, 대표, 극복, 추진"
32,"애플, 내용, 아이폰, 기본, 국가"
33,"교육, 영화, 학생, 한국, 체험"
34,"통증, 분류, 자산, 가상, 교육"
35,"대만, 미국, 북한, 비서장, 국가"
36,"기술, 출시, 브랜드, 조사, 리서치"
37,"쌍둥이, 하르키우, 러시아, 형제, 의료"
38,"광고, 거래, 기사, 정부, 의대"
39,"무효, 입장, 정부, 조약, 외교부"
40,"와인, 방식, 클라우드, 고영욱, 유튜브"
41,"콘텐츠, 전투, 호연, 캐릭터, 보스"
42,"와인, 세트, 라면, 구성, 선물"
43,"사업, 전력, 예술, 공연장, 난청"
44,"디지털, 인재, 혁신, 장관, 대학원"
45,"게임, 이용, 장애, 조사, 사업"
46,"화재, 전기차, 주차장, 점검, 안전"
47,"사용, 회용, 안랩, 환경, 특강"
48,"인건비, 적립금, 수사, 아리, 대표"
49,"서비스, 정보, 모빌리티, 티맵, 주차"
50,"배터리, 방류, 편의점, 장애인, 오염수"
51,"대표, 디자인, 오케스트라, 카카오, 정보"
52,"시장, 한국, 정치, 검사, 방사"
53,"파월, 의장, 인하, 금리, 시장"
54,"교토, 일본, 국제고, 고시엔, 이스라엘"
55,"공격, 매출, 상반기, 장비, 호텔"
56,"유시, 우석, 상품, 생활, 브랜드"
57,"보안, 장비, 중국, 기업, 패스"
58,"화산, 레이, 네스, 반도, 아이슬란드"
59,"폐기물, 사업, 전선, 미국, 굿네이버스"
60,"까웨, 판결, 법원, 유죄, 예산"
61,"중국, 영국, 양국, 관계, 스타"
62,"연금, 개혁, 대통령, 대표, 국회"
63,"사회, 경기도, 협력, 기자, 시민"
64,"투자, 중국, 울산, 벨라루스, 협력"
65,"국장, 국세청, 안정, 볼가강, 조사"
66,"차량, 아파트, 소방, 화재, 당국"
67,"반려견, 오이, 냉장고, 문화, 대구"
68,"카카오, 선물, 엠트웰브, 환불, 교환"
69,"중국, 공감각, 열차, 경험, 시설"
70,"이방인, 연극, 산울림, 해리스, 배우"
71,"심의, 여사, 사건, 수사, 총장"
72,"와인, 푸드, 행사, 트립, 글로벌"
73,"교수, 철학, 학생, 인건비, 현실"
74,"계획, 사업, 시설, 아파트, 가구"
75,"오바마, 한국, 일본, 전당대회, 세계"
76,"사용, 관장, 인도, 우크라이나, 총리"
77,"카카오, 브레인, 사업, 테크, 스케"
78,"전기차, 배터리, 안전, 위험, 조사"
79,"의원, 검찰, 수사, 사건, 민주당"
80,"청약, 가구, 공급, 계약, 분양"
81,"중국, 설리번, 보좌, 바이든, 대통령"
82,"코로나, 유행, 사회, 보험, 치명"
83,"의장, 금투세, 폐지, 국민, 대표"
84,"총재, 소나기, 내일, 오늘, 기준금리"
85,"종합, 치안, 수사, 과장, 오늘"
86,"치료, 환자, 결과, 정체, 연구"
87,"티맥스, 그룹, 티맥스소프트, 데이터, 과장"
88,"제보, 해리스, 동맹, 트럼프, 뉴스"
89,"오염수, 에너지, 일본, 캠페인, 엔진"
90,"회생, 로봇, 남양건설, 절차, 신청"
91,"버추, 게임, 기도, 회개, 판다"
92,"대표, 의원, 발의, 법안, 투자"
93,"노컷뉴스, 교회, 미담, 얘깃, 비리"
94,"금리, 경제, 인플레이션, 시장, 의장"
95,"후보자, 정부, 대해, 대한민국, 오염수"
96,"게임, 게임스컴, 작가, 부스, 생각"
97,"교수, 연구, 대학, 한국, 전공"
98,"대통령, 해리스, 트럼프, 부통령, 후보"
99,"지원, 기업, 원전, 산업, 수출"
100,"사업, 기술, 제공, 운영, 해외"
